Pokedex,Pokemon,Type,Rarity,HoloFoil,Rarity Extra,Set No.,Set,Artist,Damaged,Price,Date
43,Oddish,G,1,,,1/98,,MAHOU,,,7/7/2019
44,Gloom,G,2,,,2/98,,Masakazu Fukuda,,,7/30/2019
182,Bellossom,G,2,Art,,4/98,,Mizue,,,
167,Spinarak,G,1,,,5/98,,Naoyo Kimura,,,7/30/2019
168,Ariados,G,2,,,6/98,,Hajime Kusajima,,,7/7/2019
415,Combee,G,1,,,9/98,,Sumiyoshi Kizuki,,,7/30/2019
416,Vespiquen,G,2,,,10/98,,kawayoo,,,6/15/2019
136,Flareon,F,2,Art,,13/98,,sui,,,7/30/2019
244,Entei,F,3,,,14/98,,Naoki Saito,,,8/6/2019
244,Entei,F,3,Reverse,Full Art,15/98,,Mitsuhiro Arita,,,9/21/2019
636,Larvesta,F,1,,Full Art,16/98,,Satoshi Shirai,,,9/21/2019
637,Volcarona,F,3,,,18/98,,Kagemaru Himeno,,,7/30/2019
129,Magikarp,W,1,,,19/98,,Akira Komayama,,,5/12/2019
130,Gyarados,W,3,,,20/98,,Shin Nagasawa,,,5/12/2019
134,Vaporeon,W,2,Art,,22/98,,kirisAki,,,7/7/2019
135,Jolteon,El,3,Art,,26/98,,Sanosuke Sakuma,,,9/21/2019
181,M Ampharos EX,El,5,Full,Full Art,28/98,,5ban Graphics,,,7/7/2019
201,Unown,P,1,Reverse,,30/98,,Akira Komayama,,,7/30/2019
343,Baltoy,P,1,,Full Art,32/98,,Ayaka Yoshida,,,5/12/2019
344,Claydol,P,3,,,33/98,,Satoshi Shirai,,,7/7/2019
622,Golett,P,1,Reverse,,34/98,,Sanosuke Sakuma,,,5/12/2019
194,Wooper,Fg,1,,,38/98,,Sumiyoshi Kizuki,,,5/12/2019
195,Quagsire,Fg,1,,,39/98,,Naoyo Kimura,,,7/30/2019
623,Golurk,Fg,1,,,41/98,,Suwama Chiaki,,,7/7/2019
302,Sableye,D,2,,,44/98,,Hitoshi Ariga,,,5/12/2019
686,Inkay,D,1,,,45/98,,Tomokazu Komiya,,,7/7/2019
687,Malamar,D,1,,,46/98,,Masakazu Fukuda,,,6/15/2019
374,Beldum,Sl,1,,,47/98,,Yuka Morii,,,7/7/2019
280,Ralts,Fa,1,,,52/98,,Aya Kusube,,,5/12/2019
281,Kirlia,Fa,2,,,53/98,,match,,,5/18/2019
282,Gardevoir,Fa,3,Art,,54/98,,TOKIYA,,,5/18/2019
546,Cottonee,Fa,1,,,55/98,,Kanako Eo,,,7/20/2019
704,Goomy,Dr,1,,,58/98,,sui,,,7/7/2019
705,Sliggoo,Dr,2,,,59/98,,Midori Harada,,,5/12/2019
52,Meowth,N,1,,,61/98,,Kanako Eo,,,7/30/2019
53,Persian,N,1,Reverse,,62/98,,Mitsuhiro Arita,,,6/15/2019
T,Ace Trainer,Su,2,,,69/98,,Ken Sugimori,,,7/7/2019
T,Ampharos Spirit Link,I,2,,,70/98,,5ban Graphics,,,7/30/2019
T,Forest of Giant Plants,S,2,Reverse,,74/98,,Ryo Ueda,,,8/6/2019
T,Hex Maniac,Su,2,,,75/98,,Yusuke Ohmura,,,7/30/2019
T,Level Ball,I,2,Reverse,,76/98,,Toyste Beach,,,5/12/2019
T,Lucky Helmet,I,2,,,77/98,,Toyste Beach,,,6/15/2019
T,Paint Roller,I,2,,,79/98,,Toyste Beach,,,9/21/2019
